상품명,가격,판매여부,날짜,시간,24시간이내,프로상점,광고,케어,무료배송,지역,URL,상품ID,세부카테고리ID,대분류,중분류,소분류
보카바카 캐시미어 니트,60000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,경기도 남양주시 다산1동,https://m.bunjang.co.kr/products/256364792,256364792,310260800,여성의류,상의,니트_스웨터
COS 반팔니트,30000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,경기도 남양주시 다산1동,https://m.bunjang.co.kr/products/248139383,248139383,310260800,여성의류,상의,니트_스웨터
큐드로이 스트라이프 니트,45000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,경기도 수원시 영통구 광교1동,https://m.bunjang.co.kr/products/316777040,316777040,310260800,여성의류,상의,니트_스웨터
수입 반지퍼소라니트,12000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,서울특별시 성북구 동선동,https://m.bunjang.co.kr/products/173248732,173248732,310260800,여성의류,상의,니트_스웨터
[2차바배 택o 새상품] 르플레인 로아 니트 Loa 아이보리,89000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/338724146,338724146,310260800,여성의류,상의,니트_스웨터
김아홉 레인보우 크롭 니트,25000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/298305706,298305706,310260800,여성의류,상의,니트_스웨터
김아홉 레인보우 케이크 니크,39000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/298305033,298305033,310260800,여성의류,상의,니트_스웨터
릿킴 오프숄더 투웨이 집업 니트,29000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/278563322,278563322,310260800,여성의류,상의,니트_스웨터
드온도 카라 골지 니트,20000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/206785653,206785653,310260800,여성의류,상의,니트_스웨터
아뜨랑스 네프 세미 루즈핏 하프넥 반팔 니트 하객 니트,6500,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/333510895,333510895,310260800,여성의류,상의,니트_스웨터
반팔 니트(새상품),13000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/254484786,254484786,310260800,여성의류,상의,니트_스웨터
폴로 랄프로렌 실크 케이블니트 블랙라벨 꽈배기니트 S,29000,판매중,2025.06.12,8시간 전,✅,True,False,False,False,,https://m.bunjang.co.kr/products/338641576,338641576,310260800,여성의류,상의,니트_스웨터
나인 브이넥 케이블 반팔니트,20000,판매중,2025.06.12,8시간 전,✅,True,False,False,False,,https://m.bunjang.co.kr/products/267929193,267929193,310260800,여성의류,상의,니트_스웨터
제이크루 니트  j crew,23000,판매중,2025.06.12,8시간 전,✅,False,False,False,True,,https://m.bunjang.co.kr/products/122064691,122064691,310260800,여성의류,상의,니트_스웨터
더오픈프로덕트 백슬릿 니트 그린,60000,판매중,2025.06.12,8시간 전,✅,False,False,False,True,경기도 안산시 단원구 호수동,https://m.bunjang.co.kr/products/220191057,220191057,310260800,여성의류,상의,니트_스웨터
마리떼 프랑소와 저버 풀오버 니트 S,45000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/327746901,327746901,310260800,여성의류,상의,니트_스웨터
폴로 케이블 코튼 브이넥 니트 M,150000,판매중,2025.06.12,8시간 전,✅,False,False,False,True,,https://m.bunjang.co.kr/products/317779657,317779657,310260800,여성의류,상의,니트_스웨터
빈티지 케이블 니트 나의나인 히피디피 애니원모어 비삼샵 모리걸,22000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/323083764,323083764,310260800,여성의류,상의,니트_스웨터
따뜻한 솔,70000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/181469274,181469274,310260800,여성의류,상의,니트_스웨터
니트 반팔 화이트,20000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/335914868,335914868,310260800,여성의류,상의,니트_스웨터
랙앤본 크롭 니트,160000,판매중,2025.06.12,8시간 전,✅,False,False,False,True,,https://m.bunjang.co.kr/products/274702570,274702570,310260800,여성의류,상의,니트_스웨터
에잇세컨즈 반팔 가디건 (새상품),23000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/287954687,287954687,310260800,여성의류,상의,니트_스웨터
홀터넥 가디건 니트,25000,판매중,2025.06.12,8시간 전,✅,False,False,False,True,,https://m.bunjang.co.kr/products/320950262,320950262,310260800,여성의류,상의,니트_스웨터
데카브 니트,45000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,경상북도 구미시 고아읍,https://m.bunjang.co.kr/products/240763252,240763252,310260800,여성의류,상의,니트_스웨터
라운드넥니트 연두니트 봄니트 여자니트 원로그 하와 모코블링,26000,판매중,2025.06.12,8시간 전,✅,True,False,False,False,,https://m.bunjang.co.kr/products/217859908,217859908,310260800,여성의류,상의,니트_스웨터
Ounce 앙고라 홀터넥 블랙 새상품,57000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/310709575,310709575,310260800,여성의류,상의,니트_스웨터
타낫 소프트 크롭니트,35000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/281084493,281084493,310260800,여성의류,상의,니트_스웨터
SI 반팔니트,10000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,서울특별시 동작구 상도제1동,https://m.bunjang.co.kr/products/226613222,226613222,310260800,여성의류,상의,니트_스웨터
Ore  90s Mood Turtle-neck Sleeveless,38000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/281397117,281397117,310260800,여성의류,상의,니트_스웨터
정품) 랑방 한섬 레이스니트 90F,80000,판매중,2025.06.12,8시간 전,✅,True,False,False,True,,https://m.bunjang.co.kr/products/338896282,338896282,310260800,여성의류,상의,니트_스웨터
새상품) yue project 안느 오프숄더 니트 yue 니트,67000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/303919959,303919959,310260800,여성의류,상의,니트_스웨터
세틴 카라 니트 오브제스트 제품,56000,판매중,2025.06.12,8시간 전,✅,False,False,False,False,,https://m.bunjang.co.kr/products/322896811,322896811,310260800,여성의류,상의,니트_스웨터
